Air temperature [K],Process temperature [K],Torque [Nm],Tool wear [min],Rotational speed [rad/s],Power [W],type_encoded
298.8,309.1,49.1,128,155.92771537317338,7656.050824822813,1
298.7,309.0,25.8,130,192.99850868553295,4979.36152408675,2
298.8,309.1,46.3,133,148.49261275967754,6875.20797077307,1
298.8,309.2,53.9,135,149.22565104551518,8043.262591353267,0
298.9,309.2,44.1,140,147.86429422895958,6520.815375497118,2
298.9,309.1,4.6,143,299.6032193973466,1378.1748092277942,1
298.9,309.1,54.9,145,144.82742133048944,7951.02543104387,1
298.8,309.0,43.8,147,156.76547341413067,6866.327735538923,0
298.7,309.0,35.1,152,163.88641676226754,5752.413228355591,1
298.7,309.0,30.1,154,177.08110590734466,5330.141287811075,1
298.8,309.1,40.7,156,158.33626974092556,6444.286178455671,1
298.8,309.1,42.4,158,154.67107831173746,6558.053720417668,1
298.8,309.1,40.3,160,158.44098949604523,6385.171876690622,1
298.8,309.0,29.5,162,173.93951325375488,5131.215640985769,2
298.8,309.1,54.4,165,144.30382255489116,7850.127946986078,1
298.8,309.1,52.6,167,145.87461888168605,7673.004953176686,1
298.8,309.0,38.2,169,166.71385015049836,6368.469075749038,2
298.8,309.0,22.9,172,191.5324321138577,4386.092695407341,1
298.9,309.0,25.9,174,189.7521962768235,4914.581883569728,2
299.0,309.1,38.6,177,159.48818704724184,6156.244020023535,1
299.0,309.1,45.1,179,145.97933863680572,6583.668172519938,1
298.9,308.9,28.7,181,175.82446884590874,5046.162255877581,2
298.8,308.9,44.1,184,153.5191610054212,6770.195000339076,0
298.8,308.9,32.4,189,159.90706606772045,5180.988940594142,1
298.9,309.0,65.7,191,147.65485471872026,9700.923955019922,1
298.9,309.0,22.6,193,201.4808088502254,4553.4662800150945,2
298.9,309.1,45.5,196,152.053084433746,6918.415341735443,1
298.9,309.1,44.4,198,143.36134475881423,6365.243707291352,1
299.0,309.1,35.0,200,166.71385015049836,5834.984755267443,1
298.9,309.0,32.3,202,167.6563279465753,5415.299392674381,1
298.8,308.9,46.7,204,144.40854231001083,6743.878925877506,1
298.8,308.9,47.9,206,152.99556222982292,7328.487430808518,1
298.8,308.9,41.3,208,152.36724369910496,6292.767164773035,1
298.8,308.9,51.5,0,146.39821765728436,7539.508209350145,1
298.8,308.9,37.9,2,146.817096677763,5564.367964087218,1
298.8,308.8,49.9,4,151.32004614790836,7550.870302780627,0
298.9,308.9,47.5,9,151.84364492350667,7212.573133866567,1
298.9,308.9,40.8,11,152.15780418886564,6208.038410905718,1
299.0,309.0,40.1,13,153.8333202707802,6168.716142858287,1
298.9,308.9,47.6,15,148.91149178015618,7088.187008735435,1
299.0,309.0,26.8,17,188.9144382358662,5062.906944721215,2
299.0,309.0,43.9,20,150.37756835183143,6601.575250645399,0
299.0,309.0,31.8,25,161.6873019047547,5141.656200571199,1
299.0,309.0,45.2,27,148.59733251479722,6716.599429668835,2
298.9,308.9,39.5,30,155.71827586293406,6150.871896585895,2
298.9,308.9,25.8,33,183.57373072476358,4736.2022526989,1
298.9,308.9,24.9,35,191.63715186897738,4771.765081537536,1
298.9,308.9,27.1,37,180.8510170916524,4901.06256318378,2
299.1,309.0,43.0,40,151.84364492350667,6529.276731710787,1
299.0,308.9,31.9,42,169.85544280408814,5418.388625450411,1
299.0,309.0,52.2,44,141.47638916666034,7385.06751449967,2
299.0,309.0,35.3,47,164.93361431346412,5822.156585265283,2
298.9,308.9,29.9,50,183.25957145940458,5479.4611866361965,2
298.9,308.8,32.7,53,160.11650557795977,5235.809732399285,1
298.8,308.8,44.4,55,159.48818704724184,7081.275504897538,1
298.8,308.9,25.0,57,193.94098648160988,4848.524662040247,1
298.8,308.8,20.7,59,208.4970324432426,4315.888571575122,1
298.8,308.8,40.6,61,162.83921921107094,6611.272299969481,1
298.8,308.8,40.5,63,150.90116712742972,6111.4972686609035,2
298.8,308.7,43.4,66,151.84364492350667,6590.01418968019,1
298.8,308.7,31.1,68,166.60913039537868,5181.543955296277,1
298.8,308.7,48.5,70,151.32004614790836,7339.022238173556,1
298.8,308.8,46.8,72,156.76547341413067,7336.624155781315,2
298.9,308.8,32.7,75,169.75072304896847,5550.84864370127,0
298.9,308.7,34.1,80,164.61945504810515,5613.523417140386,1
298.8,308.6,22.5,82,196.0353815840031,4410.79608564007,1
298.7,308.6,43.5,84,156.97491292437,6828.408712210095,0
298.8,308.7,39.5,89,156.87019316925034,6196.3726301853885,2
298.8,308.6,41.9,92,155.61355610781442,6520.208000917424,2
298.8,308.6,29.4,95,175.92918860102841,5172.318144870235,1
298.8,308.6,45.7,97,149.8539695762331,6848.3264096338535,1
298.9,308.7,34.1,99,163.78169700714787,5584.955867943742,1
298.8,308.6,33.0,101,167.44688843633597,5525.747318399087,1
298.8,308.6,28.1,103,178.75662198925923,5023.0610778981845,2
298.7,308.5,40.7,106,153.62388076054089,6252.491946954015,1
298.9,308.7,44.7,108,150.06340908647243,6707.834386165318,1
298.9,308.7,41.2,110,163.1533784764299,6721.919193228912,1
299.0,308.8,50.7,112,137.18287920675428,6955.171975782442,1
298.9,308.7,43.4,114,161.896741414994,7026.31857741074,1
298.9,308.7,29.4,116,180.8510170916524,5317.0199024945805,1
298.9,308.6,32.2,118,163.36281798666923,5260.28273917075,1
299.0,308.6,60.5,120,139.17255455402784,8419.939550518684,1
298.9,308.6,46.5,122,147.96901398407925,6880.559150259685,1
299.0,308.6,38.6,124,166.19025137490004,6414.9437030711415,1
298.9,308.5,34.3,126,163.25809823154958,5599.75276934215,1
298.8,308.4,41.1,128,154.25219929125885,6339.765390870739,1
298.8,308.4,27.7,130,181.898214642849,5038.580545606917,1
298.7,308.4,43.2,132,150.90116712742972,6518.930419904964,2
298.7,308.4,49.6,135,149.74924982111347,7427.562791127228,2
298.8,308.4,53.0,138,143.36134475881423,7598.151272217154,1
298.8,308.5,28.5,140,179.17550100973787,5106.50177877753,2
298.7,308.5,45.7,143,148.70205226991686,6795.683788735201,0
298.7,308.6,55.3,148,135.8215223901987,7510.930188177988,1
298.8,308.6,49.4,150,151.738925168387,7495.902903318318,0
298.8,308.6,55.8,155,132.78464949172857,7409.383441638454,1
298.8,308.6,36.1,157,158.2315499858059,5712.158954487593,1
298.7,308.5,35.2,159,161.6873019047547,5691.393027047366,1
298.6,308.4,28.2,161,186.19172460275507,5250.606633797693,2
298.6,308.4,50.5,164,147.3406954533613,7440.705120394745,0
298.6,308.4,42.4,169,145.66517937144673,6176.203605349341,2
298.5,308.4,33.6,172,158.44098949604523,5323.61724706712,1
298.5,308.4,36.1,174,168.80824525289154,6093.977653629385,0
298.4,308.4,40.1,179,158.65042900628455,6361.882203152011,1
298.3,308.3,48.0,181,144.40854231001083,6931.61003088052,2
298.4,308.3,39.9,184,154.25219929125885,6154.662751721228,1
298.4,308.3,42.7,186,148.91149178015618,6358.52069901267,1
298.4,308.2,37.6,188,153.20500174006224,5760.50806542634,2
298.4,308.2,41.0,191,165.87609210954108,6800.919776491184,2
298.4,308.2,27.0,194,193.73154697137056,5230.751768227005,1
298.4,308.2,36.2,196,160.01178582284012,5792.426646786813,1
298.4,308.2,19.8,198,208.07815342276396,4119.9474377707265,0
298.4,308.1,46.0,203,156.55603390389135,7201.577559579002,2
298.4,308.2,43.5,206,154.77579806685713,6732.747215908285,0
298.4,308.2,40.0,211,156.97491292437,6278.996516974799,2
298.4,308.2,47.0,214,154.04275978101953,7240.009709707918,1
298.4,308.2,60.7,216,134.25072606340382,8149.0190720486125,1
298.3,308.1,52.3,218,147.86429422895958,7733.302588174585,1
298.3,308.1,35.5,0,166.0855316197804,5896.036372502204,1
298.4,308.2,43.8,2,153.72860051566053,6733.312702585931,2
298.5,308.3,43.6,5,150.79644737231007,6574.725105432719,2
298.5,308.4,26.0,8,181.47933562237037,4718.4627261816295,1
298.4,308.2,32.6,10,168.80824525289154,5503.148795244264,0
298.4,308.3,42.9,15,152.68140296446393,6550.032187175502,0
298.4,308.3,62.3,20,150.06340908647243,9348.950386087232,1
298.4,308.3,59.1,22,138.02063724771156,8157.019661339754,1
298.4,308.2,35.0,24,168.59880574265222,5900.958200992827,2
298.2,308.1,50.8,27,153.10028198494257,7777.494324835082,1
298.1,308.0,20.8,29,201.4808088502254,4190.800824084688,2
298.2,308.0,33.7,32,166.60913039537868,5614.727694324262,2
298.2,308.1,58.3,35,136.76400018627567,7973.341210859871,1
298.2,308.1,43.5,37,144.7227015753698,6295.437518528586,1
298.2,308.1,34.7,39,169.4365637836095,5879.4487632912505,1
298.2,308.2,21.4,41,208.1828731778836,4455.113486006709,1
298.2,308.2,50.2,43,150.37756835183143,7548.953931261938,1
298.2,308.3,49.8,45,136.55456067603635,6800.41712166661,1
298.2,308.3,49.9,47,154.46163880149817,7707.635776194758,1
298.2,308.3,24.2,49,191.00883333825942,4622.413766785878,0
298.1,308.2,48.1,54,140.5339113705834,6759.681136925063,2
298.1,308.2,40.7,57,155.50883635269474,6329.209639554677,1
298.2,308.2,30.6,59,174.56783178447282,5341.775652604869,1
298.2,308.2,38.2,61,151.42476590302803,5784.426057495672,1
298.1,308.3,56.0,63,136.24040141067735,7629.462478997932,1
298.2,308.4,43.1,65,144.40854231001083,6224.008173561467,1
298.3,308.5,33.6,67,168.17992672217358,5650.845537865032,1
298.3,308.4,43.4,69,161.16370312915637,6994.504715805387,2
298.2,308.4,49.9,72,154.67107831173746,7718.086807755699,1
298.2,308.4,34.6,74,174.46311202935317,6036.42367621562,1
298.2,308.4,51.8,76,146.39821765728436,7583.42767464733,0
298.2,308.4,34.6,81,175.7197490907891,6079.903318541303,0
298.2,308.5,10.7,86,280.43950421044883,3000.7026950518025,2
298.3,308.5,42.9,89,152.15780418886564,6527.569799702335,1
298.3,308.6,49.5,91,149.9586893313528,7422.955121901963,0
298.4,308.6,40.9,96,159.90706606772045,6540.199002169767,2
298.4,308.7,35.0,99,166.29497113001972,5820.32398955069,1
298.4,308.6,47.1,101,150.06340908647243,7067.986567972852,1
298.4,308.6,35.0,103,168.49408598753257,5897.29300956364,1
298.3,308.5,41.2,105,164.93361431346412,6795.264909714722,1
298.4,308.5,35.7,107,171.3215193757634,6116.178241714753,2
298.4,308.5,37.9,110,156.03243512829306,5913.6292913623065,1
298.4,308.5,32.8,112,182.31709366332765,5980.000672157146,1
298.5,308.6,53.0,114,140.74335088082273,7459.397596683605,2
298.5,308.7,35.3,117,168.49408598753257,5947.8412353599,1
298.4,308.7,60.7,119,148.80677202503654,9032.571061919718,2
298.4,308.6,36.7,122,166.60913039537868,6114.555085510398,1
298.4,308.6,44.0,124,154.67107831173746,6805.527445716449,1
298.4,308.7,36.1,126,159.48818704724184,5757.523552405431,1
298.5,308.7,33.9,128,164.93361431346412,5591.249525226433,1
298.4,308.7,52.9,130,140.74335088082273,7445.323261595522,0
298.4,308.7,44.9,135,145.14158059584844,6516.856968753595,1
298.3,308.6,37.1,137,166.39969088513936,6173.428531838671,2
298.3,308.6,40.3,140,162.1061809252333,6532.879091286902,1
298.3,308.6,38.3,142,156.97491292437,6012.13916500337,1
298.3,308.5,31.6,144,174.25367251911385,5506.416051603998,1
298.3,308.6,38.1,146,151.52948565814768,5773.2734035754265,1
298.3,308.5,46.2,148,150.1681288415921,6937.767552481556,2
298.3,308.5,52.7,151,148.28317324943822,7814.523230245395,1
298.4,308.5,24.3,153,191.3229926036184,4649.148720267927,0
298.4,308.6,45.0,158,136.55456067603635,6144.955230421636,1
298.4,308.6,34.4,160,164.30529578274619,5652.102174926468,1
298.3,308.6,29.3,162,165.87609210954108,4860.169498809553,1
298.3,308.5,53.8,164,142.6283064729766,7673.40288824614,1
298.3,308.4,49.2,166,139.17255455402784,6847.28968405817,1
298.3,308.5,36.1,168,161.16370312915637,5818.009682962545,1
298.3,308.5,37.1,170,170.58848108992575,6328.832648436246,2
298.3,308.5,32.2,173,161.05898337403673,5186.099264643983,1
298.3,308.6,34.8,175,164.41001553786583,5721.46854071773,1
298.3,308.4,43.1,177,147.44541520848094,6354.897395485528,1
298.2,308.4,47.6,179,149.1209312903955,7098.156329422826,1
298.2,308.4,34.9,181,158.33626974092556,5525.935813958302,1
298.2,308.4,42.9,183,154.77579806685713,6639.881737068171,1
298.1,308.3,33.7,185,175.92918860102841,5928.8136558546585,2
298.1,308.3,38.7,188,156.55603390389135,6058.718512080595,1
298.0,308.1,36.6,190,162.52505994571194,5948.417194013057,2
297.9,308.1,50.3,193,145.87461888168605,7337.493329748808,1
298.0,308.2,30.6,195,168.7035254977719,5162.32788023182,1
298.0,308.1,51.6,197,140.21975210522442,7235.33920862958,2
298.0,308.1,24.3,200,186.0870048476354,4521.91421779754,1
298.0,308.2,58.8,202,141.16222990130137,8300.33911819652,1
298.0,308.2,44.1,204,151.0058868825494,6659.359611520428,1
298.0,308.2,49.1,206,146.08405839192537,7172.727267043536,2
297.9,308.1,31.4,209,170.37904157968643,5349.901905602153,2
297.9,308.1,33.5,212,165.98081186466072,5560.3571974661345,1
298.0,308.2,45.5,214,153.8333202707802,6999.4160723205,1
298.0,308.3,56.8,216,142.6283064729766,8101.2878076650695,1
298.0,308.3,56.2,218,147.13125594312197,8268.776584003455,1
298.0,308.3,32.7,0,174.04423300887453,5691.246419390198,1
298.0,308.2,42.6,2,153.5191610054212,6539.916258830944,2
298.0,308.2,35.8,5,169.64600329384882,6073.326917919787,1
298.0,308.2,48.2,7,142.1047076973783,6849.446911013634,1
298.0,308.2,37.9,9,158.54570925116488,6008.8823806191485,1
298.0,308.2,40.4,11,155.92771537317338,6299.479701076205,1
298.1,308.3,63.0,13,139.38199406426716,8781.06562604883,1
298.0,308.0,29.5,15,169.12240451825053,4989.110933288391,1
298.1,308.2,37.9,17,155.19467708733578,5881.878261610026,1
298.1,308.2,63.9,19,148.70205226991686,9502.061140047686,2
298.2,308.3,49.1,22,159.38346729212216,7825.728244043198,2
298.1,308.2,32.1,25,173.20647496791725,5559.927846470144,1
298.1,308.2,26.8,27,181.79349488772937,4872.065662991147,2
298.0,308.1,32.3,30,166.19025137490004,5367.945119409271,2
298.1,308.2,47.5,33,145.56045961632708,6914.1218317755365,1
298.0,308.1,37.1,35,152.2625239439853,5648.9396383218545,1
298.0,308.1,43.7,37,150.79644737231007,6589.80475016995,0
297.9,308.0,21.1,42,204.62240150381518,4317.532671730501,1
297.9,308.0,24.8,44,188.49555921538757,4674.689868541612,0
298.0,308.0,37.0,49,159.59290680236148,5904.937551687375,1
298.0,308.0,39.6,51,159.17402778188284,6303.291500162561,0
298.1,308.1,40.8,56,152.053084433746,6203.765844896836,2
298.1,308.1,40.4,59,155.4041165975751,6278.326310542034,1
298.1,308.0,46.0,61,149.33037080063482,6869.197056829202,1
298.1,308.0,28.5,63,172.99703545767792,4930.415510543821,1
298.0,308.0,54.7,65,146.71237692264333,8025.16701766859,1
298.0,307.9,26.6,67,183.25957145940458,4874.704600820162,2
298.0,308.0,50.7,70,154.88051782197678,7852.442253574223,0
298.0,308.0,29.4,75,169.64600329384882,4987.5924968391555,2
298.0,308.1,23.4,78,190.4852345626611,4457.354488766269,1
298.1,308.1,43.7,80,152.4719634542246,6663.024802949616,2
298.1,308.0,36.5,83,170.27432182456678,6215.012746596688,1
298.1,308.1,49.8,85,145.56045961632708,7248.910888893088,2
298.2,308.2,43.0,88,153.8333202707802,6614.832771643549,1
298.2,308.3,19.2,90,214.78021775042217,4123.780180808106,1
298.2,308.3,36.0,92,164.2005760276265,5911.2207369945545,1
298.2,308.3,33.2,94,166.39969088513936,5524.4697373866275,1
298.2,308.3,31.6,96,189.0191579909859,5973.005392515154,1
298.2,308.4,42.2,98,145.03686084072876,6120.555527478754,0
298.1,308.4,46.7,103,150.37756835183143,7022.632442030528,1
298.1,308.4,45.6,105,150.58700786207075,6866.767558510426,1
298.0,308.3,42.6,107,154.25219929125885,6571.143689807627,1
298.1,308.4,40.2,109,139.80087308474577,5619.995098006781,1
298.1,308.5,44.8,111,145.7698991265664,6530.491480870174,0
298.1,308.5,51.1,116,143.6755040241732,7341.81825563525,2
298.1,308.6,30.7,119,179.69909978533616,5516.76236340982,2
298.0,308.5,46.2,122,146.08405839192537,6749.083497706953,1
298.0,308.5,25.3,124,179.3849405199772,4538.438995155423,1
297.9,308.5,18.7,126,222.94835864975565,4169.13430675043,0
297.8,308.3,35.6,131,164.09585627250686,5841.812483301244,2
297.8,308.4,38.3,134,169.85544280408814,6505.463459396576,1
297.7,308.4,27.1,136,182.21237390820798,4937.9553329124365,1
297.8,308.4,35.1,138,158.33626974092556,5557.603067906487,0
297.8,308.4,43.5,143,154.88051782197678,6737.30252525599,2
297.8,308.4,27.5,146,181.898214642849,5002.200902678348,1
297.8,308.4,19.2,148,222.94835864975565,4280.608486075308,1
297.8,308.4,47.1,150,143.8849435344125,6776.980840470829,1
297.8,308.4,36.6,152,165.35249333394276,6051.9012560223055,2
297.9,308.5,47.2,155,136.659280431156,6450.3180363505635,1
297.9,308.5,40.8,157,151.738925168387,6190.948146870189,2
298.0,308.6,41.8,160,159.8023463126008,6679.738075866713,0
298.0,308.6,44.1,165,152.15780418886564,6710.159164728975,2
297.9,308.6,36.0,168,153.72860051566053,5534.229618563779,1
298.0,308.6,50.8,170,137.49703847211327,6984.849554383354,1
297.9,308.5,53.0,172,136.1356816555577,7215.191127744558,2
297.9,308.4,40.6,175,172.36871692695996,6998.169907234575,1
297.8,308.4,33.2,177,179.48966027509684,5959.056721133215,1
297.8,308.4,28.4,179,176.4527873766267,5011.259161496198,1
297.8,308.4,39.9,181,158.33626974092556,6317.617162662929,1
297.8,308.4,32.1,183,168.80824525289154,5418.744672617819,1
297.8,308.4,38.2,185,162.31562043547262,6200.456700635054,0
297.8,308.4,32.5,190,158.96458827164352,5166.349118828414,1
297.8,308.5,40.0,192,151.63420541326735,6065.368216530695,1
297.8,308.5,46.3,194,163.4675377417889,7568.546997444826,1
297.8,308.5,41.9,196,155.82299561805374,6528.983516396452,2
297.8,308.5,27.8,199,177.91886394830195,4946.144417762795,1
297.7,308.5,41.4,201,157.1843524346093,6507.432190792825,1
297.7,308.5,56.7,203,143.78022377929287,8152.338688285906,1
297.6,308.4,31.4,205,178.3377429687806,5599.805129219711,0
297.7,308.5,29.9,210,180.1179788058148,5385.527566293862,0
297.6,308.4,41.9,215,146.39821765728436,6134.085319840215,2
297.6,308.4,51.9,218,145.66517937144673,7560.022809378085,2
297.6,308.3,40.2,0,161.05898337403673,6474.571131636277,2
297.5,308.2,31.3,3,172.47343668207964,5398.418568149093,1
297.5,308.1,44.8,5,153.8333202707802,6891.732748130953,2
297.4,308.1,25.9,8,183.15485170428494,4743.710659140979,1
297.6,308.2,20.5,10,208.91591146372124,4282.776185006285,2
297.6,308.3,27.7,13,182.4218134184473,5053.08423169099,1
297.5,308.2,38.2,15,163.67697725202822,6252.460531027478,1
297.5,308.2,32.2,17,179.3849405199772,5776.195084743266,2
297.4,308.1,39.4,20,154.3569190463785,6081.662610427313,1
297.4,308.2,32.6,22,160.22122533307945,5223.21194585839,2
297.4,308.2,46.5,25,154.04275978101953,7162.988329817408,1
297.5,308.3,48.6,27,145.35102010608776,7064.059577155866,1
297.5,308.2,13.8,29,256.3539605329271,3537.684655354394,2
297.5,308.3,32.9,32,165.98081186466072,5460.768710347337,1
297.5,308.3,45.2,34,152.7861227195836,6905.932746925179,2
297.5,308.3,40.8,37,161.6873019047547,6596.841917713991,1
297.6,308.3,31.7,39,169.33184402848985,5367.819455703128,1
297.6,308.3,34.3,41,167.02800941585733,5729.060722963905,1
297.6,308.3,44.3,43,146.60765716752368,6494.719212521299,0
297.6,308.4,31.0,48,168.7035254977719,5229.809290430929,2
297.6,308.4,46.0,51,157.81267096532727,7259.3828644050545,2
297.5,308.3,30.0,54,175.30087007031045,5259.026102109314,0
297.6,308.3,34.3,59,173.6253539883959,5955.349641801979,1
297.6,308.3,36.9,61,169.9601625592078,6271.529998434768,1
297.6,308.4,48.9,63,146.39821765728436,7158.872843441205,2
297.6,308.4,34.2,66,158.85986851652387,5433.007503265117,1
297.6,308.3,36.7,68,153.62388076054089,5637.996423911851,2
297.6,308.3,34.6,71,164.09585627250686,5677.716627028738,2
297.5,308.3,38.2,74,159.27874753700252,6084.4481559134965,2
297.5,308.3,36.8,77,167.13272917097697,6150.484433491952,1
297.6,308.3,30.9,79,171.74039839624203,5306.778310443879,0
297.6,308.3,47.8,84,150.58700786207075,7198.058975806981,1
297.6,308.4,55.2,86,147.3406954533613,8133.206389025544,1
297.6,308.4,57.5,88,141.68582867689966,8146.935148921731,1
297.6,308.5,40.9,90,162.52505994571194,6647.274951779618,2
297.6,308.4,38.3,93,164.30529578274619,6292.892828479178,2
297.5,308.4,39.5,96,155.92771537317338,6159.144757240349,1
297.5,308.4,36.1,98,166.19025137490004,5999.468074633892,0
297.5,308.3,37.2,103,169.85544280408814,6318.6224723120795,2
297.5,308.4,38.1,106,167.97048721193426,6399.675562774695,1
297.4,308.3,51.7,108,147.13125594312197,7606.685932259406,2
297.4,308.3,42.0,111,147.86429422895958,6210.300357616303,1
297.4,308.3,43.0,113,149.8539695762331,6443.720691778024,1
297.4,308.2,37.4,115,160.5353845984384,6004.023383981596,1
297.4,308.2,51.9,117,146.71237692264333,7614.3723622851885,2
297.4,308.2,53.9,120,149.1209312903955,8037.618196552317,2
297.3,308.2,29.4,123,183.67845047988322,5400.146444108566,1
297.3,308.2,26.8,125,183.67845047988322,4922.58247286087,1
297.5,308.3,12.8,127,268.50145212680764,3436.818587223138,1
297.5,308.5,40.4,129,161.896741414994,6540.628353165758,1
297.5,308.5,48.0,131,139.80087308474577,6710.441908067797,1
297.5,308.6,27.0,133,192.89378893041328,5208.132301121159,2
297.5,308.5,26.8,136,179.28022076485752,4804.709916498182,1
297.6,308.6,45.4,138,148.0737337391989,6722.54751175963,2
297.6,308.7,50.9,141,138.12535700283124,7030.58067144411,1
297.7,308.7,60.4,143,130.79497414445504,7900.016438325084,1
297.6,308.7,48.2,145,152.36724369910496,7344.10114629686,1
297.6,308.7,54.8,147,147.44541520848094,8080.008753424755,2
297.6,308.7,46.7,150,152.89084247470325,7140.002343568643,1
297.6,308.6,38.1,152,156.1371548834127,5948.825601058024,1
297.6,308.5,43.4,154,156.03243512829306,6771.807684567919,2
297.5,308.4,52.2,157,141.3716694115407,7379.601143282424,2
297.5,308.4,39.9,160,160.01178582284012,6384.470254331321,1
297.4,308.3,37.7,162,164.5147352929855,6202.2055205455545,1
297.4,308.3,42.6,164,156.03243512829306,6646.9817364652845,1
297.4,308.3,28.9,166,185.77284558227643,5368.8352373277885,2
297.4,308.3,43.6,169,157.28907218972896,6857.803547472183,0
297.4,308.4,49.7,174,145.7698991265664,7244.76398659035,1
297.4,308.5,16.9,176,219.9114857512855,3716.504109196725,1
297.5,308.5,30.4,178,180.32741831605412,5481.953516808045,1
297.4,308.6,32.3,180,175.7197490907891,5675.747895632488,1
297.3,308.6,59.8,182,133.3082482673269,7971.833246386148,1
297.3,308.6,45.9,184,135.8215223901987,6234.207877710121,1
297.3,308.5,57.6,186,141.3716694115407,8143.008158104744,1
297.4,308.6,51.9,188,150.6917276171904,7820.9006633321815,1
297.4,308.5,42.1,190,167.5516081914556,7053.922704860282,2
297.4,308.6,44.4,193,150.1681288415921,6667.464920566689,2
297.4,308.6,41.3,196,152.7861227195836,6310.066868318802,1
297.5,308.6,44.9,198,154.14747953613917,6921.221831172648,2
297.5,308.7,44.3,201,149.6445300659938,6629.2526819235245,1
297.5,308.6,48.2,203,145.35102010608776,7005.91916911343,1
297.4,308.4,34.5,205,164.7241748032248,5682.984030711255,1
297.4,308.4,32.5,207,166.29497113001972,5404.58656172564,1
297.5,308.4,42.8,209,158.2315499858059,6772.310339392493,1
297.4,308.5,37.8,211,156.55603390389135,5917.818081567092,1
297.4,308.4,50.1,213,145.97933863680572,7313.5648657039665,1
297.4,308.4,17.7,0,225.25219326238815,3986.96382074427,1
297.3,308.3,38.2,2,157.1843524346093,6004.442263002076,2
297.3,308.3,39.6,5,136.24040141067735,5395.119895862823,2
297.3,308.3,31.1,8,173.52063423327624,5396.491724654891,2
297.3,308.3,55.2,11,139.59143357450648,7705.4471333127585,1
297.3,308.3,43.9,13,155.4041165975751,6822.240718633547,1
297.3,308.4,45.7,15,149.74924982111347,6843.540716824886,1
297.3,308.4,28.9,17,174.35839227423352,5038.957536725348,2
297.4,308.5,44.9,20,157.1843524346093,7057.577424313958,1
297.5,308.5,42.2,22,156.66075365901102,6611.083804410266,2
297.6,308.6,36.9,25,167.02800941585733,6163.333547445135,2
297.5,308.6,62.3,28,126.501464184549,7881.041218697402,1
297.5,308.6,37.1,30,167.13272917097697,6200.624252243246,1
297.5,308.5,41.9,32,151.42476590302803,6344.697691336874,1
297.6,308.5,39.7,34,153.5191610054212,6094.710691915223,2
